Вася Пупкин, [('русский язык', []), ('литература', [1]), ('математика', []), ('иностранный язык', []), ('история', []), ('физическая культура', []), ('музыка', []), ('технология', []), ('математика', []), ('история', [])]
Анжелика Богомолова, [('русский язык', []), ('литература', []), ('математика', []), ('иностранный язык', []), ('история', []), ('физическая культура', []), ('музыка', [3]), ('технология', [])]
Мария Иванова, [('русский язык', []), ('литература', [5]), ('математика', []), ('иностранный язык', []), ('история', []), ('физическая культура', []), ('музыка', []), ('технология', [])]
Анжелика Фадеева, [('русский язык', []), ('литература', []), ('математика', []), ('иностранный язык', []), ('история', []), ('физическая культура', []), ('музыка', []), ('технология', [5])]
Мария Иванчук, [('русский язык', []), ('литература', []), ('математика', []), ('иностранный язык', []), ('история', []), ('физическая культура', [1]), ('музыка', []), ('технология', [])]
Екатерина Фадеева, [('русский язык', []), ('литература', []), ('математика', []), ('иностранный язык', []), ('история', []), ('физическая культура', []), ('музыка', []), ('технология', [1])]
Анна Иванчук, [('русский язык', []), ('литература', []), ('математика', [5]), ('иностранный язык', []), ('история', []), ('физическая культура', []), ('музыка', []), ('технология', [])]
Полина Петрова, [('русский язык', []), ('литература', []), ('математика', []), ('иностранный язык', []), ('история', [1]), ('физическая культура', []), ('музыка', []), ('технология', [])]
Мария Петрова, [('русский язык', []), ('литература', [2]), ('математика', []), ('иностранный язык', []), ('история', []), ('физическая культура', []), ('музыка', []), ('технология', [])]
Анна Петрова, [('русский язык', []), ('литература', []), ('математика', [1]), ('иностранный язык', []), ('история', []), ('физическая культура', []), ('музыка', []), ('технология', [])]
Анжелика Иванова, [('русский язык', []), ('литература', []), ('математика', []), ('иностранный язык', [5]), ('история', []), ('физическая культура', []), ('музыка', []), ('технология', [])]
Анастасия Иванова, [('русский язык', []), ('литература', []), ('математика', []), ('иностранный язык', [4]), ('история', []), ('физическая культура', []), ('музыка', []), ('технология', [])]
Мария Фадеева, [('русский язык', []), ('литература', []), ('математика', []), ('иностранный язык', []), ('история', []), ('физическая культура', [4]), ('музыка', []), ('технология', [])]
Екатерина Иванчук, [('русский язык', []), ('литература', []), ('математика', []), ('иностранный язык', []), ('история', []), ('физическая культура', [2]), ('музыка', []), ('технология', [])]
Анастасия Петрова, [('русский язык', []), ('литература', []), ('математика', []), ('иностранный язык', [2]), ('история', []), ('физическая культура', []), ('музыка', []), ('технология', [])]
Анжелика Иванчук, [('русский язык', []), ('литература', []), ('математика', []), ('иностранный язык', []), ('история', []), ('физическая культура', []), ('музыка', []), ('технология', [2])]
Виктория Федорова, [('русский язык', [4]), ('литература', []), ('математика', []), ('иностранный язык', []), ('история', []), ('физическая культура', []), ('музыка', []), ('технология', [])]
Анастасия Фадеева, [('русский язык', []), ('литература', []), ('математика', []), ('иностранный язык', []), ('история', []), ('физическая культура', []), ('музыка', [2]), ('технология', [])]
Виктория Иванова, [('русский язык', []), ('литература', []), ('математика', []), ('иностранный язык', []), ('история', []), ('физическая культура', []), ('музыка', [5]), ('технология', [])]
Виктория Борисова, [('русский язык', []), ('литература', []), ('математика', []), ('иностранный язык', []), ('история', [5]), ('физическая культура', []), ('музыка', []), ('технология', [])]
Екатерина Богомолова, [('русский язык', [1]), ('литература', []), ('математика', []), ('иностранный язык', []), ('история', []), ('физическая культура', []), ('музыка', []), ('технология', [])]
Екатерина Борисова, [('русский язык', []), ('литература', []), ('математика', []), ('иностранный язык', [1]), ('история', []), ('физическая культура', []), ('музыка', []), ('технология', [])]
Мария Богомолова, [('русский язык', []), ('литература', []), ('математика', []), ('иностранный язык', []), ('история', []), ('физическая культура', []), ('музыка', []), ('технология', [1])]
Анастасия Борисова, [('русский язык', []), ('литература', []), ('математика', []), ('иностранный язык', [2]), ('история', []), ('физическая культура', []), ('музыка', []), ('технология', [])]
Анна Иванова, [('русский язык', []), ('литература', []), ('математика', []), ('иностранный язык', []), ('история', [3]), ('физическая культура', []), ('музыка', []), ('технология', [])]
Анастасия Иванчук, [('русский язык', []), ('литература', []), ('математика', []), ('иностранный язык', [4]), ('история', []), ('физическая культура', []), ('музыка', []), ('технология', [])]
Мария Федорова, [('русский язык', []), ('литература', []), ('математика', [1]), ('иностранный язык', []), ('история', []), ('физическая культура', []), ('музыка', []), ('технология', [])]
Полина Иванова, [('русский язык', [5]), ('литература', []), ('математика', []), ('иностранный язык', []), ('история', []), ('физическая культура', []), ('музыка', []), ('технология', [])]
Полина Иванчук, [('русский язык', []), ('литература', []), ('математика', []), ('иностранный язык', []), ('история', []), ('физическая культура', [5]), ('музыка', []), ('технология', [])]
Матвей Петров, [('русский язык', []), ('литература', []), ('математика', []), ('иностранный язык', [4]), ('история', []), ('физическая культура', []), ('музыка', []), ('технология', [])]
Александр Петров, [('русский язык', []), ('литература', []), ('математика', []), ('иностранный язык', []), ('история', []), ('физическая культура', []), ('музыка', [3]), ('технология', [])]
